Company,Supersector,Country,Weight (%)
SIEMENS GAMESA,Oil & Gas,ES,0.04
ELIA GROUP,Utilities,BE,0.04
DECHRA PHARMACEUTICALS,Health Care,GB,0.04
INDUTRADE,Industrial Goods & Services,SE,0.04
GJENSIDIGE FORSIKRING,Insurance,NO,0.04
TECHNIPFMC,Oil & Gas,FR,0.04
ITV,Media,GB,0.04
JD SPORTS FASHION,Retail,GB,0.04
ELEKTA B,Health Care,SE,0.04
EVOTEC,Health Care,DE,0.04
COFINIMMO,Real Estate,BE,0.04
TRELLEBORG B,Industrial Goods & Services,SE,0.04
SIG COMBIBLOC GROUP AG,Industrial Goods & Services,CH,0.04
GEORG FISCHER,Industrial Goods & Services,CH,0.04
WEIR GRP,Industrial Goods & Services,GB,0.04
Valmet,Industrial Goods & Services,FI,0.04
UNITE GROUP PLC,Real Estate,GB,0.04
TRYG,Insurance,DK,0.04
LUNDBERGFORETAGEN B,Real Estate,SE,0.04
IAG,Travel & Leisure,GB,0.04
PROXIMUS,Telecommunications,BE,0.04
WIRECARD,Industrial Goods & Services,DE,0.04
AMPLIFON,Health Care,IT,0.04
AVEVA GRP,Technology,GB,0.04
IMI,Industrial Goods & Services,GB,0.04
GAMES WORKSHOP,Personal & Household Goods,GB,0.04
HUSQVARNA B,Personal & Household Goods,SE,0.04
TENARIS,Basic Resources,IT,0.04
MERLIN PROPERTIES SOCIMI,Real Estate,ES,0.04
THYSSENKRUPP,Industrial Goods & Services,DE,0.04
BANKINTER,Banks,ES,0.04
ADP,Industrial Goods & Services,FR,0.04
HOLMEN B,Basic Resources,SE,0.04
CENTRICA,Utilities,GB,0.03
HERA,Utilities,IT,0.03
AAK,Food & Beverage,SE,0.03
TRITAX BIG BOX REIT,Real Estate,GB,0.03
ACKERMANS & VAN HAAREN,Financial Services,BE,0.03
HELVETIA HLDG,Insurance,CH,0.03
BAKKAFROST,Food & Beverage,NO,0.03
HISCOX,Insurance,GB,0.03
ILIAD,Telecommunications,FR,0.03
TRAINLINE PLC,Travel & Leisure,GB,0.03
IPSEN,Health Care,FR,0.03
MEGGITT,Industrial Goods & Services,GB,0.03
SIGNIFY,Industrial Goods & Services,NL,0.03
CEMBRA MONEY BANK,Banks,CH,0.03
SWECO 'B',Construction & Materials,SE,0.03
REMY COINTREAU,Food & Beverage,FR,0.03
VERBUND,Utilities,AT,0.03
AALBERTS,Industrial Goods & Services,NL,0.03
KGHM,Basic Resources,PL,0.03
BE SEMICONDUCTOR,Technology,NL,0.03
ROTORK,Industrial Goods & Services,GB,0.03
QUILTER,Financial Services,GB,0.03
OLD MUTUAL,Insurance,GB,0.03
ETS COLRUYT,Retail,BE,0.03
ITALGAS,Utilities,IT,0.03
BOLLORE,Industrial Goods & Services,FR,0.03
LEONARDO,Industrial Goods & Services,IT,0.03
SUNRISE,Telecommunications,CH,0.03
NOKIAN RENKAAT,Automobiles & Parts,FI,0.03
DIALOG SEMICON,Technology,DE,0.03
FUCHS PETROLUB PREF,Chemicals,DE,0.03
ALLREAL HLDG,Real Estate,CH,0.03
AEDIFICA,Real Estate,BE,0.03
ISS AS,Industrial Goods & Services,DK,0.03
BEAZLEY,Insurance,GB,0.03
ANDRITZ,Industrial Goods & Services,AT,0.03
CNP ASSURANCES,Insurance,FR,0.03
TELEFONICA DEUTSCHLAND,Telecommunications,DE,0.03
GENUS,Health Care,GB,0.03
UBI BCA,Banks,IT,0.03
ALSTRIA OFFICE REIT,Real Estate,DE,0.03
LUFTHANSA,Travel & Leisure,DE,0.03
BRITVIC,Food & Beverage,GB,0.03
DOMETIC GROUP AB,Personal & Household Goods,SE,0.03
SES,Technology,LU,0.03
REXEL,Industrial Goods & Services,FR,0.03
ALTICE EUROPE NV A,Telecommunications,NL,0.03
SINCH,Technology,SE,0.03
FAURECIA,Automobiles & Parts,FR,0.03
RAIFFEISEN BANK INTERNATIONAL,Banks,AT,0.03
DIPLOMA,Industrial Goods & Services,GB,0.03
MARKS & SPENCER GRP,Retail,GB,0.03
SAMHALLSBYGGNADSBOL AGET NORD,Real Estate,SE,0.03
CTS EVENTIM,Media,DE,0.03
WENDEL,Financial Services,FR,0.03
ALTEN,Technology,FR,0.03
GRAND CITY PROPERTIES,Real Estate,DE,0.03
WIENERBERGER,Construction & Materials,AT,0.03
SBM OFFSHORE,Oil & Gas,NL,0.03
EURAZEO,Financial Services,FR,0.03
TP ICAP,Financial Services,GB,0.03
WIHLBORGS FASTIGHETER,Real Estate,SE,0.03
FLUGHAFEN ZURICH,Industrial Goods & Services,CH,0.03
GLANBIA,Food & Beverage,IE,0.03
MAN GRP,Financial Services,GB,0.03
STOREBRAND,Insurance,NO,0.03
VOESTALPINE,Basic Resources,AT,0.03
PROSIEBENSAT.1 MEDIA,Media,DE,0.03
TUI,Travel & Leisure,GB,0.03
INCHCAPE,Retail,GB,0.03
DEMANT,Health Care,DK,0.03
SALMAR,Food & Beverage,NO,0.03
ASHMORE GRP,Financial Services,GB,0.03
PEKAO,Banks,PL,0.03
INTERPUMP GRP,Industrial Goods & Services,IT,0.03
CARNIVAL,Travel & Leisure,GB,0.03
INMOBILIARIA COLONIAL SOCIMI,Real Estate,ES,0.03
NETWORK INTERNATIONAL HOLDINGS,Industrial Goods & Services,GB,0.03
IWG PLC,Industrial Goods & Services,GB,0.03
H. LUNDBECK,Health Care,DK,0.03
ENTRA,Real Estate,NO,0.03
A2A,Utilities,IT,0.03
UDG HEALTHCARE PUBLIC,Health Care,GB,0.03
BANCO BPM,Banks,IT,0.03
HAYS,Industrial Goods & Services,GB,0.03
NATIXIS,Banks,FR,0.03
GREGGS,Retail,GB,0.03
LPP,Personal & Household Goods,PL,0.03
ICADE,Real Estate,FR,0.03
MONEYSUPERMARKET COM GP.,Media,GB,0.03
